[Epoch 1] Batch 0/44996 | Loss: 8.1847
[Epoch 1] Batch 100/44996 | Loss: 3.9848
[Epoch 1] Batch 200/44996 | Loss: 2.1197
[Epoch 1] Batch 300/44996 | Loss: 1.3305
[Epoch 1] Batch 400/44996 | Loss: 0.8415
[Epoch 1] Batch 500/44996 | Loss: 0.5897
[Epoch 1] Batch 600/44996 | Loss: 0.3157
[Epoch 1] Batch 700/44996 | Loss: 0.2107
[Epoch 1] Batch 800/44996 | Loss: 0.1669
[Epoch 1] Batch 900/44996 | Loss: 0.1455
[Epoch 1] Batch 1000/44996 | Loss: 0.0921
[Epoch 1] Batch 1100/44996 | Loss: 0.0431
[Epoch 1] Batch 1200/44996 | Loss: 0.0293
[Epoch 1] Batch 1300/44996 | Loss: 0.0236
[Epoch 1] Batch 1400/44996 | Loss: 0.0234
[Epoch 1] Batch 1500/44996 | Loss: 0.0135
[Epoch 1] Batch 1600/44996 | Loss: 0.0150
[Epoch 1] Batch 1700/44996 | Loss: 0.0104
[Epoch 1] Batch 1800/44996 | Loss: 0.0095
[Epoch 1] Batch 1900/44996 | Loss: 0.0099
[Epoch 1] Batch 2000/44996 | Loss: 0.0102
[Epoch 1] Batch 2100/44996 | Loss: 0.0059
[Epoch 1] Batch 2200/44996 | Loss: 0.0053
[Epoch 1] Batch 2300/44996 | Loss: 0.0057
[Epoch 1] Batch 2400/44996 | Loss: 0.0059
[Epoch 1] Batch 2500/44996 | Loss: 0.0056
[Epoch 1] Batch 2600/44996 | Loss: 0.0051
[Epoch 1] Batch 2700/44996 | Loss: 0.0054
[Epoch 1] Batch 2800/44996 | Loss: 0.0038
[Epoch 1] Batch 2900/44996 | Loss: 0.0031
[Epoch 1] Batch 3000/44996 | Loss: 0.0029
[Epoch 1] Batch 3100/44996 | Loss: 0.0031
[Epoch 1] Batch 3200/44996 | Loss: 0.0024
[Epoch 1] Batch 3300/44996 | Loss: 0.0026
[Epoch 1] Batch 3400/44996 | Loss: 0.0023
[Epoch 1] Batch 3500/44996 | Loss: 0.0020
[Epoch 1] Batch 3600/44996 | Loss: 0.0031
[Epoch 1] Batch 3700/44996 | Loss: 0.0014
[Epoch 1] Batch 3800/44996 | Loss: 0.0016
[Epoch 1] Batch 3900/44996 | Loss: 0.0020
[Epoch 1] Batch 4000/44996 | Loss: 0.0016
[Epoch 1] Batch 4100/44996 | Loss: 0.0017
[Epoch 1] Batch 4200/44996 | Loss: 0.0016
[Epoch 1] Batch 4300/44996 | Loss: 0.0012
[Epoch 1] Batch 4400/44996 | Loss: 0.0013
[Epoch 1] Batch 4500/44996 | Loss: 0.0010
[Epoch 1] Batch 4600/44996 | Loss: 0.0011
[Epoch 1] Batch 4700/44996 | Loss: 0.0010
[Epoch 1] Batch 4800/44996 | Loss: 0.0010
[Epoch 1] Batch 4900/44996 | Loss: 0.0009
[Epoch 1] Batch 5000/44996 | Loss: 0.0008
[Epoch 1] Batch 5100/44996 | Loss: 0.0008
[Epoch 1] Batch 5200/44996 | Loss: 0.0007
[Epoch 1] Batch 5300/44996 | Loss: 0.0008
[Epoch 1] Batch 5400/44996 | Loss: 0.0006
[Epoch 1] Batch 5500/44996 | Loss: 0.0006
[Epoch 1] Batch 5600/44996 | Loss: 0.0007
